method,entity_type,precision,recall,f1,accuracy,tp,fp,fn,total_true,total_pred
SpaCy Extended,POSITION,0.0,0.0,0.0,0.0,0,0,13,13,0
SpaCy Extended,IP_ADDRESS,0.0,0.0,0.0,0.0,0,0,4,4,0
SpaCy Extended,CAR_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
SpaCy Extended,SNILS,0.0,0.0,0.0,0.0,0,0,36,36,0
SpaCy Extended,AGE,0.5217391304347826,0.3870967741935484,0.4444444444444444,0.2857142857142857,12,11,19,31,23
SpaCy Extended,VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
SpaCy Extended,ADDRESS,0.4782608695652174,0.16417910447761194,0.24444444444444446,0.13924050632911392,11,12,56,67,23
SpaCy Extended,ALL,0.2926829268292683,0.18485237483953787,0.22659323367427223,0.12777284826974267,144,348,635,779,492
Transformers BERT,BIRTHDAY,0.0,0.0,0.0,0.0,0,0,14,14,0
Transformers BERT,EDUCATION,0.0,0.0,0.0,0.0,0,0,27,27,0
Transformers BERT,INN,0.0,0.0,0.0,0.0,0,0,27,27,0
Transformers BERT,LOCATION,0.12727272727272726,0.5,0.2028985507246377,0.11290322580645161,7,48,7,14,55
Transformers BERT,MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
Transformers BERT,BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
Transformers BERT,PASSPORT,0.0,0.0,0.0,0.0,0,0,34,34,0
Transformers BERT,PERSON,0.38427947598253276,0.4808743169398907,0.42718446601941745,0.2716049382716049,88,141,95,183,229
Transformers BERT,EMAIL,0.0,0.0,0.0,0.0,0,0,69,69,0
Transformers BERT,PHONE,0.0,0.0,0.0,0.0,0,0,123,123,0
Transformers BERT,DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
Transformers BERT,BANK_CARD,0.0,0.0,0.0,0.0,0,0,32,32,0
Transformers BERT,FAMILY,0.0,0.0,0.0,0.0,0,0,4,4,0
Transformers BERT,ORGANIZATION,0.0,0.0,0.0,0.0,0,0,35,35,0
Transformers BERT,POSITION,0.0,0.0,0.0,0.0,0,0,13,13,0
Transformers BERT,IP_ADDRESS,0.0,0.0,0.0,0.0,0,0,4,4,0
Transformers BERT,CAR_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
Transformers BERT,SNILS,0.0,0.0,0.0,0.0,0,0,36,36,0
Transformers BERT,AGE,0.0,0.0,0.0,0.0,0,0,31,31,0
Transformers BERT,VIN_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
Transformers BERT,ADDRESS,0.19455252918287938,0.746268656716418,0.308641975308642,0.18248175182481752,50,207,17,67,257
Transformers BERT,ALL,0.2680221811460259,0.18613607188703465,0.2196969696969697,0.12340425531914893,145,396,634,779,541
Hybrid Advanced,BIRTHDAY,1.0,0.07142857142857142,0.13333333333333333,0.07142857142857142,1,0,13,14,1
Hybrid Advanced,EDUCATION,0.0,0.0,0.0,0.0,0,0,27,27,0
Hybrid Advanced,INN,0.0,0.0,0.0,0.0,0,0,27,27,0
Hybrid Advanced,LOCATION,0.058333333333333334,0.5,0.1044776119402985,0.05511811023622047,7,113,7,14,120
Hybrid Advanced,MEDICAL,0.0,0.0,0.0,0.0,0,0,6,6,0
Hybrid Advanced,BANK_ACCOUNT,0.0,0.0,0.0,0.0,0,0,6,6,0
Hybrid Advanced,PASSPORT,0.0,0.0,0.0,0.0,0,0,34,34,0
Hybrid Advanced,PERSON,0.4230769230769231,0.4207650273224044,0.42191780821917807,0.2673611111111111,77,105,106,183,182
Hybrid Advanced,EMAIL,0.8974358974358975,0.5072463768115942,0.6481481481481483,0.4794520547945205,35,4,34,69,39
Hybrid Advanced,PHONE,0.7540983606557377,0.7479674796747967,0.7510204081632651,0.6013071895424836,92,30,31,123,122
Hybrid Advanced,DRIVER_LICENSE,0.0,0.0,0.0,0.0,0,0,4,4,0
Hybrid Advanced,BANK_CARD,0.0,0.0,0.0,0.0,0,0,32,32,0
Hybrid Advanced,FAMILY,0.0,0.0,0.0,0.0,0,0,4,4,0
Hybrid Advanced,ORGANIZATION,0.43478260869565216,0.5714285714285714,0.49382716049382713,0.32786885245901637,20,26,15,35,46
Hybrid Advanced,POSITION,0.0,0.0,0.0,0.0,0,0,13,13,0
Hybrid Advanced,IP_ADDRESS,0.0,0.0,0.0,0.0,0,0,4,4,0
Hybrid Advanced,CAR_NUMBER,0.0,0.0,0.0,0.0,0,0,25,25,0
Hybrid Advanced,SNILS,0.0,0.0,0.0,0.0,0,0,36,36,0
